"DistinguishedName","DNSHostName","Enabled","Name","ObjectClass","ObjectGUID","SamAccountName","SID","UserPrincipalName"
"CN=JKTWSR0122,OU=AP,OU=Servers,OU=NBI12,DC=global,DC=schindler,DC=com","JKTWSR0122.global.schindler.com","True","JKTWSR0122","computer","d3d982bb-9fdb-412b-8d70-b8d30ac6f671","JKTWSR0122$","S-1-5-21-3663903349-3750885259-1011159491-282516",
"CN=SCNWSR0034,OU=AP,OU=Servers,OU=NBI12,DC=global,DC=schindler,DC=com","SCNWSR0034.global.schindler.com","True","SCNWSR0034","computer","c360e544-7554-48e2-a5e1-7d5933f3d00c","SCNWSR0034$","S-1-5-21-3663903349-3750885259-1011159491-255711",
"CN=INDWSR0062,OU=AP,OU=Servers,OU=NBI12,DC=global,DC=schindler,DC=com","INDWSR0062.global.schindler.com","True","INDWSR0062","computer","d117b79e-16d4-4ae7-9b77-81a65a730c2b","INDWSR0062$","S-1-5-21-3663903349-3750885259-1011159491-256176",
"CN=JTPWSR0006,OU=AP,OU=Servers,OU=NBI12,DC=global,DC=schindler,DC=com","JTPWSR0006.global.schindler.com","True","JTPWSR0006","computer","004236fc-c80b-4417-9666-bdf022e395c7","JTPWSR0006$","S-1-5-21-3663903349-3750885259-1011159491-441336",
"CN=INDWSR0079,OU=AP,OU=Servers,OU=NBI12,DC=global,DC=schindler,DC=com","INDWSR0079.global.schindler.com","True","INDWSR0079","computer","e4b8ed55-f706-498d-a4c1-fd96f11cc7d0","INDWSR0079$","S-1-5-21-3663903349-3750885259-1011159491-413417",
"CN=INDWSR0051,OU=AP,OU=Servers,OU=NBI12,DC=global,DC=schindler,DC=com","INDWSR0051.global.schindler.com","True","INDWSR0051","computer","0a049b15-9b0b-48b6-955f-7bc2cc8c32a3","INDWSR0051$","S-1-5-21-3663903349-3750885259-1011159491-260746",
"CN=JSGWSR0020,OU=AP,OU=Servers,OU=NBI12,DC=global,DC=schindler,DC=com","JSGWSR0020.global.schindler.com","True","JSGWSR0020","computer","0f9d4b52-e2b1-42c4-a782-ecf55ecb7e2b","JSGWSR0020$","S-1-5-21-3663903349-3750885259-1011159491-167120",
"CN=JSGWSR0072,OU=AP,OU=Servers,OU=NBI12,DC=global,DC=schindler,DC=com","JSGWSR0072.global.schindler.com","True","JSGWSR0072","computer","10ee8d9e-1578-4d56-8887-3065053b9f14","JSGWSR0072$","S-1-5-21-3663903349-3750885259-1011159491-441170",
"CN=SCNWSR0064,OU=AP,OU=Servers,OU=NBI12,DC=global,DC=schindler,DC=com","SCNWSR0064.global.schindler.com","True","SCNWSR0064","computer","1d0151d7-1b7e-4785-8af7-fbf311e236b5","SCNWSR0064$","S-1-5-21-3663903349-3750885259-1011159491-375376",
"CN=VNMDNA0101,OU=AP,OU=Servers,OU=NBI12,DC=global,DC=schindler,DC=com","vnmdna0101.global.schindler.com","True","VNMDNA0101","computer","7c79f446-cc9a-4219-973b-f085fb1efec1","VNMDNA0101$","S-1-5-21-3663903349-3750885259-1011159491-177540",
"CN=JTPWSR0007,OU=AP,OU=Servers,OU=NBI12,DC=global,DC=schindler,DC=com","JTPWSR0007.global.schindler.com","True","JTPWSR0007","computer","adfb18e9-7e7c-48f4-85e5-d6dece8e1e54","JTPWSR0007$","S-1-5-21-3663903349-3750885259-1011159491-441338",
"CN=JSGWSR0047,OU=AP,OU=Servers,OU=NBI12,DC=global,DC=schindler,DC=com","JSGWSR0047.global.schindler.com","True","JSGWSR0047","computer","aa75d8fb-70fd-4bc0-a5a1-69caec608406","JSGWSR0047$","S-1-5-21-3663903349-3750885259-1011159491-353597",
"CN=JSGWSR0052,OU=AP,OU=Servers,OU=NBI12,DC=global,DC=schindler,DC=com","JSGWSR0052.global.schindler.com","True","JSGWSR0052","computer","12b89ae9-1569-4113-8dee-d86b4ff14137","JSGWSR0052$","S-1-5-21-3663903349-3750885259-1011159491-405030",
"CN=SCNWSR0126,OU=AP,OU=Servers,OU=NBI12,DC=global,DC=schindler,DC=com",,"True","SCNWSR0126","computer","1f848810-1be0-4cf3-9b45-dfbbc3ef7894","SCNWSR0126$","S-1-5-21-3663903349-3750885259-1011159491-349344",
"CN=INDWSR0103,OU=AP,OU=Servers,OU=NBI12,DC=global,DC=schindler,DC=com","INDWSR0103.global.schindler.com","True","INDWSR0103","computer","9f0108c2-1e1f-4fcf-ad66-7c06815e7fa4","INDWSR0103$","S-1-5-21-3663903349-3750885259-1011159491-416228",
"CN=SCNWSR0037,OU=AP,OU=Servers,OU=NBI12,DC=global,DC=schindler,DC=com","SCNWSR0037.global.schindler.com","True","SCNWSR0037","computer","6d1af70f-7ca2-4f63-aec7-0b3936a50f94","SCNWSR0037$","S-1-5-21-3663903349-3750885259-1011159491-257922",
"CN=INDWSR0008,OU=AP,OU=Servers,OU=NBI12,DC=global,DC=schindler,DC=com","INDWSR0008.global.schindler.com","True","INDWSR0008","computer","42c74070-551b-4fe8-a234-6313461eaa8b","INDWSR0008$","S-1-5-21-3663903349-3750885259-1011159491-440780",
"CN=SCNWSR0038,OU=AP,OU=Servers,OU=NBI12,DC=global,DC=schindler,DC=com","SCNWSR0038.global.schindler.com","True","SCNWSR0038","computer","c798688a-7193-4e14-8dc4-94ba3cff29d0","SCNWSR0038$","S-1-5-21-3663903349-3750885259-1011159491-259887",
"CN=SCNWSR0090,OU=AP,OU=Servers,OU=NBI12,DC=global,DC=schindler,DC=com","SCNWSR0090.global.schindler.com","True","SCNWSR0090","computer","957a3888-38e0-4897-93ca-b9c1cbed8c5d","SCNWSR0090$","S-1-5-21-3663903349-3750885259-1011159491-389124",
"CN=NZCNWGAUC0001,OU=AP,OU=Servers,OU=NBI12,DC=global,DC=schindler,DC=com",,"True","NZCNWGAUC0001","computer","b91ff3f1-77f3-44e2-b9df-45855cdf63d8","NZCNWGAUC0001$","S-1-5-21-3663903349-3750885259-1011159491-157007",
"CN=INDWSR0018,OU=AP,OU=Servers,OU=NBI12,DC=global,DC=schindler,DC=com","INDWSR0018.global.schindler.com","True","INDWSR0018","computer","a25bbeae-c6a3-40ec-aa98-172115c3d5ac","INDWSR0018$","S-1-5-21-3663903349-3750885259-1011159491-179673",
"CN=INDNWGMUM0001,OU=AP,OU=Servers,OU=NBI12,DC=global,DC=schindler,DC=com",,"True","INDNWGMUM0001","computer","420b8a47-16ce-4ab1-8d2d-1b4da856cd43","INDNWGMUM0001$","S-1-5-21-3663903349-3750885259-1011159491-175234",
"CN=INDWSR0024,OU=AP,OU=Servers,OU=NBI12,DC=global,DC=schindler,DC=com","INDWSR0024.global.schindler.com","True","INDWSR0024","computer","8c94356f-112d-4467-a845-56446a914804","INDWSR0024$","S-1-5-21-3663903349-3750885259-1011159491-98638",
"CN=ASMWSR0001,OU=AP,OU=Servers,OU=NBI12,DC=global,DC=schindler,DC=com","ASMWSR0001.global.schindler.com","True","ASMWSR0001","computer","e174ac0c-d390-42e5-b417-8494d6d3b3c8","ASMWSR0001$","S-1-5-21-3663903349-3750885259-1011159491-94285",
"CN=SCNWSR0012,OU=AP,OU=Servers,OU=NBI12,DC=global,DC=schindler,DC=com","SCNWSR0012.global.schindler.com","True","SCNWSR0012","computer","61fade81-a54b-43a8-955b-a90bfe501973","SCNWSR0012$","S-1-5-21-3663903349-3750885259-1011159491-139939",
"CN=camwsr0001,OU=AP,OU=Servers,OU=NBI12,DC=global,DC=schindler,DC=com","camwsr0001.global.schindler.com","True","camwsr0001","computer","c142a87f-b342-401d-abf9-346f824b0492","CAMWSR0001$","S-1-5-21-3663903349-3750885259-1011159491-403144",
"CN=INDNWGPCH0001,OU=AP,OU=Servers,OU=NBI12,DC=global,DC=schindler,DC=com",,"True","INDNWGPCH0001","computer","c4b31890-c686-4ff5-87c5-259ec7a3784b","INDNWGPCH0001$","S-1-5-21-3663903349-3750885259-1011159491-153884",
"CN=JSGWSR0079,OU=AP,OU=Servers,OU=NBI12,DC=global,DC=schindler,DC=com","JSGWSR0079.global.schindler.com","True","JSGWSR0079","computer","7747e892-0f00-45ee-a474-d84bd2903c6a","JSGWSR0079$","S-1-5-21-3663903349-3750885259-1011159491-441626",
"CN=INDWSR0080,OU=AP,OU=Servers,OU=NBI12,DC=global,DC=schindler,DC=com","INDWSR0080.global.schindler.com","True","INDWSR0080","computer","ed5ee861-264b-4b70-9102-d89a3e1a7c70","INDWSR0080$","S-1-5-21-3663903349-3750885259-1011159491-413543",
"CN=INDWSR0093,OU=AP,OU=Servers,OU=NBI12,DC=global,DC=schindler,DC=com","INDWSR0093.global.schindler.com","True","INDWSR0093","computer","03cbe641-512f-44e0-8e0a-be62eff5800c","INDWSR0093$","S-1-5-21-3663903349-3750885259-1011159491-423039",
"CN=ECCWSR0002,OU=AP,OU=Servers,OU=NBI12,DC=global,DC=schindler,DC=com","ECCWSR0002.global.schindler.com","True","ECCWSR0002","computer","20fd65f9-c873-4c77-9cd5-7723891b0d0c","ECCWSR0002$","S-1-5-21-3663903349-3750885259-1011159491-300111",
"CN=JSGWSR0051,OU=AP,OU=Servers,OU=NBI12,DC=global,DC=schindler,DC=com","JSGWSR0051.global.schindler.com","True","JSGWSR0051","computer","db4c11f9-27c9-44c2-b23f-c001db2e1181","JSGWSR0051$","S-1-5-21-3663903349-3750885259-1011159491-402062",
"CN=SCNWSR0108,OU=AP,OU=Servers,OU=NBI12,DC=global,DC=schindler,DC=com","SCNWSR0108.global.schindler.com","True","SCNWSR0108","computer","c3c97d53-1a89-4786-8529-931cc6cb770f","SCNWSR0108$","S-1-5-21-3663903349-3750885259-1011159491-120603",
"CN=INDWSR0025,OU=AP,OU=Servers,OU=NBI12,DC=global,DC=schindler,DC=com","INDWSR0025.global.schindler.com","True","INDWSR0025","computer","e576af56-6dea-4ee3-9bc0-4b2a51fb9368","INDWSR0025$","S-1-5-21-3663903349-3750885259-1011159491-98649",
"CN=SCNWSR0142,OU=AP,OU=Servers,OU=NBI12,DC=global,DC=schindler,DC=com","SCNWSR0142.global.schindler.com","True","SCNWSR0142","computer","478ec80a-3ccf-4811-9eee-60c295211e7c","SCNWSR0142$","S-1-5-21-3663903349-3750885259-1011159491-440763",
"CN=JTPNWGTAP0001,OU=AP,OU=Servers,OU=NBI12,DC=global,DC=schindler,DC=com",,"True","JTPNWGTAP0001","computer","1d3e2829-d870-42f6-8a16-ea553e7fd7e9","JTPNWGTAP0001$","S-1-5-21-3663903349-3750885259-1011159491-209752",
"CN=INDWSR0084,OU=AP,OU=Servers,OU=NBI12,DC=global,DC=schindler,DC=com","INDWSR0084.global.schindler.com","True","INDWSR0084","computer","0ff48d24-7388-49bb-8db2-51956651ee7a","INDWSR0084$","S-1-5-21-3663903349-3750885259-1011159491-418162",
"CN=INDWSR0029,OU=AP,OU=Servers,OU=NBI12,DC=global,DC=schindler,DC=com","INDWSR0029.global.schindler.com","True","INDWSR0029","computer","ee773369-0bc3-4115-b244-9e45a55f5bb2","INDWSR0029$","S-1-5-21-3663903349-3750885259-1011159491-176205",
"CN=JSPNWGMUN0001,OU=AP,OU=Servers,OU=NBI12,DC=global,DC=schindler,DC=com",,"True","JSPNWGMUN0001","computer","25085015-8be2-4cd0-ab5f-b9b9e456fb94","JSPNWGMUN0001$","S-1-5-21-3663903349-3750885259-1011159491-210063",
"CN=JEDWSR0001,OU=AP,OU=Servers,OU=NBI12,DC=global,DC=schindler,DC=com","JEDWSR0001.global.schindler.com","True","JEDWSR0001","computer","26560568-748c-455c-b2c7-9f5ea4081c73","JEDWSR0001$","S-1-5-21-3663903349-3750885259-1011159491-108649",
"CN=jspnwomak0001,OU=AP,OU=Servers,OU=NBI12,DC=global,DC=schindler,DC=com","jspnwomak0001.global.schindler.com","True","jspnwomak0001","computer","f14d1102-bacc-483d-82b1-e7ee6189eb36","jspnwomak0001$","S-1-5-21-3663903349-3750885259-1011159491-69437",
"CN=SCNWSR0040,OU=AP,OU=Servers,OU=NBI12,DC=global,DC=schindler,DC=com",,"True","SCNWSR0040","computer","d1082972-5f5b-469c-be5b-4dfb508b0c89","SCNWSR0040$","S-1-5-21-3663903349-3750885259-1011159491-350121",
"CN=KUWWSR0003,OU=AP,OU=Servers,OU=NBI12,DC=global,DC=schindler,DC=com","KUWWSR0003.global.schindler.com","True","KUWWSR0003","computer","599b0de1-23bc-41db-8df7-532ec94be3e5","KUWWSR0003$","S-1-5-21-3663903349-3750885259-1011159491-62528",
"CN=JKTNWGJAK0001,OU=AP,OU=Servers,OU=NBI12,DC=global,DC=schindler,DC=com",,"True","JKTNWGJAK0001","computer","e235cba4-40f6-4528-8ba3-ae7edea5637f","JKTNWGJAK0001$","S-1-5-21-3663903349-3750885259-1011159491-209749",
"CN=JSPWSR0101,OU=AP,OU=Servers,OU=NBI12,DC=global,DC=schindler,DC=com","JSPWSR0101.global.schindler.com","True","JSPWSR0101","computer","4628871d-8e47-47a0-b412-9416ebff6743","JSPWSR0101$","S-1-5-21-3663903349-3750885259-1011159491-69303",
"CN=JPNWSR0013,OU=AP,OU=Servers,OU=NBI12,DC=global,DC=schindler,DC=com","JPNWSR0013.global.schindler.com","True","JPNWSR0013","computer","5717e0eb-eb8a-4861-9c81-4710bead13e3","JPNWSR0013$","S-1-5-21-3663903349-3750885259-1011159491-440524",
"CN=indnwopun0001,OU=AP,OU=Servers,OU=NBI12,DC=global,DC=schindler,DC=com","indnwopun0001.global.schindler.com","True","indnwopun0001","computer","adad3504-4155-4c33-82fa-ef6efab937b2","indnwopun0001$","S-1-5-21-3663903349-3750885259-1011159491-322619",
"CN=ASMNWGKUA0001,OU=AP,OU=Servers,OU=NBI12,DC=global,DC=schindler,DC=com",,"True","ASMNWGKUA0001","computer","55964d79-7821-482d-ba7a-9ae94e38a7e2","ASMNWGKUA0001$","S-1-5-21-3663903349-3750885259-1011159491-208404",
"CN=INDWSR0085,OU=AP,OU=Servers,OU=NBI12,DC=global,DC=schindler,DC=com","INDWSR0085.global.schindler.com","True","INDWSR0085","computer","0e6d6d44-3191-4833-806b-31b7b9b8f5f0","INDWSR0085$","S-1-5-21-3663903349-3750885259-1011159491-418112",
"CN=JKTWSR0002,OU=AP,OU=Servers,OU=NBI12,DC=global,DC=schindler,DC=com","JKTWSR0002.global.schindler.com","True","JKTWSR0002","computer","4d5c56ea-0441-4f30-9695-9cf13c3ee786","JKTWSR0002$","S-1-5-21-3663903349-3750885259-1011159491-404922",
"CN=SCNWSR0105,OU=AP,OU=Servers,OU=NBI12,DC=global,DC=schindler,DC=com","SCNWSR0105.global.schindler.com","True","SCNWSR0105","computer","049fbb36-91f7-4e0a-a3bc-cdc20f6023f5","SCNWSR0105$","S-1-5-21-3663903349-3750885259-1011159491-128941",
"CN=JSGWSR0009,OU=AP,OU=Servers,OU=NBI12,DC=global,DC=schindler,DC=com","JSGWSR0009.global.schindler.com","True","JSGWSR0009","computer","34221e1a-6d3b-4d4d-bd00-e51915909da0","JSGWSR0009$","S-1-5-21-3663903349-3750885259-1011159491-167104",
"CN=SCNWSR0045,OU=AP,OU=Servers,OU=NBI12,DC=global,DC=schindler,DC=com",,"True","SCNWSR0045","computer","647a034f-4848-4c60-bb70-09b366e4224a","SCNWSR0045$","S-1-5-21-3663903349-3750885259-1011159491-350162",
"CN=JSGWSR0008,OU=AP,OU=Servers,OU=NBI12,DC=global,DC=schindler,DC=com","JSGWSR0008.global.schindler.com","True","JSGWSR0008","computer","4f306832-c3d7-4f5b-9216-b38b0891ad66","JSGWSR0008$","S-1-5-21-3663903349-3750885259-1011159491-70334",
"CN=SCNWSR0104,OU=AP,OU=Servers,OU=NBI12,DC=global,DC=schindler,DC=com","SCNWSR0104.global.schindler.com","True","SCNWSR0104","computer","7f8862b3-ff9b-480a-b20f-c3db0053b51d","SCNWSR0104$","S-1-5-21-3663903349-3750885259-1011159491-132103",
"CN=JSGWSR0059,OU=AP,OU=Servers,OU=NBI12,DC=global,DC=schindler,DC=com","JSGWSR0059.global.schindler.com","True","JSGWSR0059","computer","ebf3195d-8dc2-45a2-b3b9-ab32191bc133","JSGWSR0059$","S-1-5-21-3663903349-3750885259-1011159491-416220",
"CN=JSGWSR0010,OU=AP,OU=Servers,OU=NBI12,DC=global,DC=schindler,DC=com","JSGWSR0010.global.schindler.com","True","JSGWSR0010","computer","16032fa5-9d9e-45b8-9cd5-08d022b2c2c4","JSGWSR0010$","S-1-5-21-3663903349-3750885259-1011159491-167604",
"CN=INDWSR0007,OU=AP,OU=Servers,OU=NBI12,DC=global,DC=schindler,DC=com","INDWSR0007.global.schindler.com","True","INDWSR0007","computer","99a779e5-20c0-4f1e-8fc8-a0bc29808b59","INDWSR0007$","S-1-5-21-3663903349-3750885259-1011159491-177626",
"CN=indnwomum0001,OU=AP,OU=Servers,OU=NBI12,DC=global,DC=schindler,DC=com","indnwomum0001.global.schindler.com","True","indnwomum0001","computer","f7655718-77a2-417b-9503-a7e52e085e5e","indnwomum0001$","S-1-5-21-3663903349-3750885259-1011159491-179780",
"CN=AUSNWGSYD0002,OU=AP,OU=Servers,OU=NBI12,DC=global,DC=schindler,DC=com",,"True","AUSNWGSYD0002","computer","dcba27aa-2b2d-4f6c-934a-c57bf53f16cc","AUSNWGSYD0002$","S-1-5-21-3663903349-3750885259-1011159491-208426",
"CN=INDWSR0002,OU=AP,OU=Servers,OU=NBI12,DC=global,DC=schindler,DC=com","INDWSR0002.global.schindler.com","True","INDWSR0002","computer","ec7c7f6d-ce74-4388-ae9d-3055302a52e9","INDWSR0002$","S-1-5-21-3663903349-3750885259-1011159491-91240",
"CN=SCNWSR0029,OU=AP,OU=Servers,OU=NBI12,DC=global,DC=schindler,DC=com","SCNWSR0029.global.schindler.com","True","SCNWSR0029","computer","1cb5825d-d0a6-483c-aa50-23c2ff0b08e3","SCNWSR0029$","S-1-5-21-3663903349-3750885259-1011159491-257678",
"CN=INDWSR0030,OU=AP,OU=Servers,OU=NBI12,DC=global,DC=schindler,DC=com","INDWSR0030.global.schindler.com","True","INDWSR0030","computer","7b579abd-d628-4618-8b06-88120ae63616","INDWSR0030$","S-1-5-21-3663903349-3750885259-1011159491-91368",
